"","loan_amnt","term","int_rate","installment","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","title","earliest_cr_line","open_acc","total_acc","application_type","mort_acc","address"
"77",19000," 36 months",6.68,583.89,"owner","10+ years","OWN",80000,"Not Verified","Mar-2015","Fully Paid","debt_consolidation","Debt consolidation","Jun-1996",16,56,"INDIVIDUAL",6,"44296 Victor Plaza Apt. 108
Kimhaven, NM 30723"
"78",11250," 60 months",19.22,293.2,"Global Account Director","1 year","RENT",135000,"Verified","Dec-2013","Fully Paid","debt_consolidation","Debt consolidation","Nov-1986",13,26,"INDIVIDUAL",6,"55921 Dean Inlet Suite 937
New Diane, IL 22690"
"79",17800," 60 months",11.49,391.38,"Dekalb County Fire Rescue","4 years","MORTGAGE",95000,"Source Verified","Sep-2011","Charged Off","wedding","home expenses","Jan-2001",8,26,"INDIVIDUAL",NA,"6651 Diana Freeway Suite 777
Leahton, WA 70466"
"80",33000," 60 months",17.27,824.94,"Medtronic","9 years","MORTGAGE",92000,"Verified","Mar-2013","Fully Paid","debt_consolidation","Pay the Bills","Apr-2000",12,24,"INDIVIDUAL",1,"43848 Lee Spurs
Mcclainshire, IL 29597"
"81",19000," 36 months",12.12,632.17,"Broward Sheriff Office","8 years","RENT",48000,"Source Verified","Jul-2012","Fully Paid","debt_consolidation","Debt Loan","Jun-1994",12,28,"INDIVIDUAL",0,"58673 Foster Freeway
Port Meredithville, NY 22690"
"82",10000," 36 months",16.99,356.48,"CNA/QMA","7 years","OWN",40000,"Not Verified","Jan-2014","Charged Off","debt_consolidation","Debt consolidation","May-2003",8,18,"INDIVIDUAL",0,"519 Dillon Lights Suite 839
Meghanstad, HI 48052"
"83",8050," 36 months",16.55,285.21,"CNA","4 years","RENT",29500,"Not Verified","Mar-2015","Charged Off","debt_consolidation","Debt consolidation","Jan-2002",9,12,"INDIVIDUAL",0,"610 Joshua Haven Suite 591
Johnsonside, MN 70466"
"84",9000," 36 months",15.61,314.69,"Program Manager","6 years","RENT",80000,"Source Verified","Mar-2015","Fully Paid","car","Car financing","Sep-1994",10,26,"INDIVIDUAL",0,"41919 Philip Walk Apt. 811
Ramosmouth, OH 29597"
"85",7200," 36 months",19.97,267.47,"Ultrasound Technologist","6 years","RENT",72000,"Not Verified","Feb-2014","Charged Off","moving","Moving and relocation","Mar-2001",19,43,"INDIVIDUAL",0,"5740 Aaron Mountains Suite 747
Samanthaview, MT 22690"
"86",5600," 36 months",7.89,175.2,"Mate","5 years","MORTGAGE",63000,"Verified","Jun-2016","Fully Paid","credit_card","Credit card refinancing","Sep-2012",5,8,"INDIVIDUAL",1,"7762 Leslie Dale
Cynthiaville, NJ 70466"
"87",10000," 36 months",18.25,362.78,"Lead Technician level 4 ","3 years","RENT",39000,"Not Verified","Jan-2014","Fully Paid","house","Home buying","Apr-2006",20,26,"INDIVIDUAL",0,"006 Bryan Parks
Kennedyview, CO 22690"
"88",30000," 60 months",24.7,875.28,"Medtronic","5 years","MORTGAGE",187321,"Verified","Jul-2012","Fully Paid","debt_consolidation","Debt Consolidation","Oct-2002",21,52,"INDIVIDUAL",3,"25281 Kevin Neck
Armstrongton, TN 29597"
"89",9425," 36 months",13.49,319.8,"beach house mkt inc","8 years","RENT",45000,"Not Verified","Dec-2011","Fully Paid","credit_card","credit card refinance loan","Dec-2001",12,31,"INDIVIDUAL",NA,"983 Young Causeway Suite 575
Fostermouth, KS 30723"
"90",23000," 36 months",8.39,724.89,"Controller","10+ years","MORTGAGE",80000,"Source Verified","Jul-2014","Fully Paid","debt_consolidation","Debt consolidation","May-1998",15,34,"INDIVIDUAL",2,"805 Scott Mountain
Port Connie, DC 00813"
"91",18000," 36 months",10.99,589.22,"Sales Manager","4 years","MORTGAGE",90000,"Source Verified","Oct-2013","Fully Paid","debt_consolidation","Moving Payoff","Dec-2002",9,16,"INDIVIDUAL",1,"03377 Russell Crescent Suite 154
Port Derekton, DE 00813"
"92",30225," 60 months",18.24,771.47,"","","MORTGAGE",65800,"Verified","Aug-2014","Charged Off","debt_consolidation","Debt consolidation","Mar-1999",11,31,"INDIVIDUAL",1,"493 Michael Route
Hillfurt, AZ 70466"
"93",3000," 36 months",7.9,93.88,"PA Leadership Charter School","< 1 year","RENT",39000,"Source Verified","Sep-2011","Fully Paid","small_business","Small Business Loan - Gourmet Food Truck","Nov-2003",11,13,"INDIVIDUAL",NA,"USCGC Hamilton
FPO AA 48052"
"94",5000," 36 months",10.99,163.67,"Electrician","7 years","RENT",52000,"Not Verified","Jan-2014","Fully Paid","debt_consolidation","Debt consolidation","Oct-2005",11,19,"INDIVIDUAL",0,"9561 Villa Coves
Haleyfurt, DE 05113"
"95",4000," 36 months",13.33,135.42,"technician","10+ years","MORTGAGE",75000,"Not Verified","Oct-2015","Fully Paid","debt_consolidation","Debt consolidation","May-1990",9,16,"INDIVIDUAL",0,"6755 Wright Shore
Monicatown, NV 70466"
"96",30000," 36 months",16.49,1061.99,"Sergeant Major","10+ years","RENT",101000,"Verified","Nov-2014","Fully Paid","debt_consolidation","Debt consolidation","Jun-2003",7,15,"INDIVIDUAL",2,"2528 Herrera Track Suite 897
Savannahburgh, NY 70466"
"97",12625," 60 months",25.78,376.36,"Nursing Assistant","7 years","MORTGAGE",43000,"Verified","Jul-2015","Fully Paid","credit_card","Credit card refinancing","Aug-2003",18,31,"INDIVIDUAL",1,"522 Melissa Village
East Janice, MT 00813"
"98",13400," 60 months",25.83,399.86,"DESIGNER","10+ years","MORTGAGE",56000,"Verified","Nov-2014","Charged Off","debt_consolidation","Debt consolidation","Jun-2001",23,44,"INDIVIDUAL",6,"0326 Jacob Via
Jacksonstad, MI 93700"
"99",24250," 60 months",18.64,624.27,"Keystone Automotive Operations","10+ years","MORTGAGE",46200,"Verified","Dec-2011","Fully Paid","debt_consolidation","consolidation loan","Jan-1998",9,22,"INDIVIDUAL",NA,"7371 Holland Circles Suite 244
Gibsonport, WV 48052"
"100",21000," 36 months",12.12,698.71,"","7 years","RENT",150000,"Source Verified","Mar-2013","Fully Paid","debt_consolidation","first loan","May-2003",9,20,"INDIVIDUAL",0,"3239 Michael Vista Suite 848
East Amanda, IL 70466"
"101",17000," 36 months",7.51,528.89,"Black Horse Pike Regional School Distric","10+ years","MORTGAGE",87000,"Verified","Oct-2011","Fully Paid","debt_consolidation","Personal","Oct-1978",15,35,"INDIVIDUAL",NA,"9919 Thomas Shore Suite 574
West Allison, VT 00813"
"102",9100," 36 months",13.99,310.98,"Store manager","9 years","RENT",41000,"Source Verified","Oct-2015","Charged Off","debt_consolidation","Debt consolidation","Feb-2001",6,12,"INDIVIDUAL",0,"1465 Giles Ranch Suite 073
Wyattshire, OH 70466"
"103",26000," 36 months",15.22,904.11,"HHC 40th ESB (US Army)","10+ years","RENT",59500,"Verified","Aug-2013","Fully Paid","credit_card","Consolidation","Jul-1994",8,15,"INDIVIDUAL",0,"2360 Stephanie Lane Suite 533
Garciafort, NM 22690"
"104",30000," 36 months",15.31,1044.52,"Alice G. Alatorre DDS.","9 years","MORTGAGE",108000,"Verified","Dec-2012","Charged Off","debt_consolidation","Debt consolidation","May-1998",8,15,"INDIVIDUAL",0,"453 Murray Stream
South Cathyfort, IL 93700"
"105",15000," 36 months",6.62,460.56,"Capital One","6 years","MORTGAGE",83000,"Verified","Jun-2013","Fully Paid","major_purchase","Loan","Jun-2006",11,22,"INDIVIDUAL",1,"454 Hernandez Rapid Suite 604
Port Laurenburgh, WI 29597"
"106",8000," 36 months",12.35,267.06,"Sally beauty supply","7 years","RENT",27000,"Verified","Aug-2013","Fully Paid","home_improvement","The trailer","Oct-2006",6,9,"INDIVIDUAL",0,"510 Sarah Terrace
Lake Cynthialand, MS 00813"
"107",8000," 36 months",12.99,269.52,"Production Administrator","8 years","MORTGAGE",25000,"Not Verified","Oct-2013","Fully Paid","credit_card","Fiscal Responsibility","Dec-2002",8,18,"INDIVIDUAL",5,"133 Erin Center Apt. 469
South Jennifer, MI 05113"
"108",11200," 60 months",15.31,268.28,"Production Operator","9 years","RENT",106000,"Source Verified","May-2016","Fully Paid","major_purchase","Major purchase","Aug-1993",10,30,"INDIVIDUAL",2,"09693 Smith Alley Apt. 461
East Miranda, CT 00813"
